,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,3,Longest Substring Without Repeating Characters,32.4%,Medium,,1.80332
1,5,Longest Palindromic Substring,31.4%,Medium,,7.26923
2,146,LRU Cache,38.3%,Medium,,14.9809
3,200,Number of Islands,52.0%,Medium,,4.19505
4,253,Meeting Rooms II,48.4%,Medium,,9.62241
5,1429,First Unique Number,51.2%,Medium,,100
6,1326,Minimum Number of Taps to Open to Water a Garden,48.0%,Hard,,57.4905
