,#,Title,Acceptance,Difficulty,Frequency
113,344,Reverse String,72.5%,Easy,9.74812
114,345,Reverse Vowels of a String,46.2%,Easy,3.46225
115,347,Top K Frequent Elements,63.7%,Medium,5.47394
116,366,Find Leaves of Binary Tree,75.0%,Medium,8.15397
117,380,Insert Delete GetRandom O(1),50.7%,Medium,1.74208
118,394,Decode String,54.6%,Medium,12.3423
119,399,Evaluate Division,55.9%,Medium,24.2765
120,416,Partition Equal Subset Sum,45.7%,Medium,1.84219
121,443,String Compression,46.2%,Medium,17.3801
122,445,Add Two Numbers II,57.7%,Medium,3.16408
123,450,Delete Node in a BST,46.9%,Medium,2.50208
124,465,Optimal Account Balancing,48.6%,Hard,2.99752
125,498,Diagonal Traverse,53.3%,Medium,9.10449
126,516,Longest Palindromic Subsequence,58.0%,Medium,1.07827
127,540,Single Element in a Sorted Array,58.1%,Medium,3.51879
128,545,Boundary of Binary Tree,41.9%,Medium,91.7447
129,547,Number of Provinces,62.2%,Medium,1.0874
130,557,Reverse Words in a String III,75.5%,Easy,3.51685
131,560,Subarray Sum Equals K,43.7%,Medium,4.50313
132,572,Subtree of Another Tree,44.9%,Easy,1.47259
133,621,Task Scheduler,53.7%,Medium,1.29264
134,632,Smallest Range Covering Elements from K Lists,56.7%,Hard,33.7594
135,642,Design Search Autocomplete System,47.6%,Hard,13.9795
136,655,Print Binary Tree,57.9%,Medium,64.0076
137,658,Find K Closest Elements,43.7%,Medium,1.13116
138,662,Maximum Width of Binary Tree,39.6%,Medium,8.2537
139,665,Non-decreasing Array,21.2%,Medium,23.1321
140,680,Valid Palindrome II,37.9%,Easy,1.71686
141,692,Top K Frequent Words,53.9%,Medium,6.57475
142,694,Number of Distinct Islands,59.0%,Medium,7.46227
143,695,Max Area of Island,68.0%,Medium,2.88682
144,727,Minimum Window Subsequence,42.8%,Hard,0
145,729,My Calendar I,54.7%,Medium,18.0046
146,743,Network Delay Time,47.1%,Medium,1.25031
147,767,Reorganize String,51.2%,Medium,5.49157
148,772,Basic Calculator III,46.2%,Hard,15.9214
