,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.487647
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.304206
2,8,String to Integer (atoi),16.1%,Medium,0.437207
3,11,Container With Most Water,53.2%,Medium,0.103445
4,20,Valid Parentheses,40.5%,Easy,0.154486
5,23,Merge k Sorted Lists,45.0%,Hard,0.168975
6,56,Merge Intervals,43.2%,Medium,0.097973
7,94,Binary Tree Inorder Traversal,68.8%,Easy,0.114275
8,98,Validate Binary Search Tree,29.7%,Medium,0.117419
9,112,Path Sum,44.1%,Easy,0.204362
10,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.386002
11,127,Word Ladder,33.7%,Hard,0.354742
12,136,Single Number,67.8%,Easy,1.46788
13,151,Reverse Words in a String,26.8%,Medium,0.119981
14,200,Number of Islands,52.0%,Medium,0.452665
15,204,Count Primes,32.8%,Medium,0.476899
16,209,Minimum Size Subarray Sum,41.6%,Medium,0.354783
17,283,Move Zeroes,59.6%,Easy,0.2217
18,322,Coin Change,39.0%,Medium,0.159432
19,394,Decode String,54.6%,Medium,0.348917
20,696,Count Binary Substrings,62.9%,Easy,0.620695
21,724,Find Pivot Index,49.2%,Easy,0.521471
22,738,Monotone Increasing Digits,46.4%,Medium,83.222
23,704,Binary Search,54.7%,Easy,0.176991
24,706,Design HashMap,63.8%,Easy,0.489697
25,957,Prison Cells After N Days,39.8%,Medium,2.43905
26,509,Fibonacci Number,67.8%,Easy,0.502548
27,1177,Can Make Palindrome from Substring,36.9%,Medium,100
28,1200,Minimum Absolute Difference,67.6%,Easy,2.00025
29,1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,0.737224
30,1283,Find the Smallest Divisor Given a Threshold,52.0%,Medium,32.8468
31,1312,Minimum Insertion Steps to Make a String Palindrome,62.0%,Hard,5.95347
32,1335,Minimum Difficulty of a Job Schedule,56.8%,Hard,3.30073
33,1349,Maximum Students Taking Exam,45.8%,Hard,59.4982
34,1341,Movie Rating,59.1%,Medium,6.19534
