,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,41,First Missing Positive,35.2%,Hard,,24.7109
1,56,Merge Intervals,43.2%,Medium,,18.1682
2,62,Unique Paths,58.1%,Medium,,15.8834
3,71,Simplify Path,36.4%,Medium,,78.9441
4,207,Course Schedule,44.7%,Medium,,16.2691
5,358,Rearrange String k Distance Apart,36.3%,Hard,,100
6,767,Reorganize String,51.2%,Medium,,63.0875
7,787,Cheapest Flights Within K Stops,36.8%,Medium,,45.7668
