,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.169631
1,14,Longest Common Prefix,38.1%,Easy,0.342131
2,15,3Sum,29.8%,Medium,0.413616
3,20,Valid Parentheses,40.5%,Easy,2.61432
4,21,Merge Two Sorted Lists,58.3%,Easy,0.897055
5,53,Maximum Subarray,48.9%,Easy,0.169209
6,56,Merge Intervals,43.2%,Medium,4.84814
7,88,Merge Sorted Array,42.2%,Easy,6.1642
8,125,Valid Palindrome,39.9%,Easy,0.477472
9,134,Gas Station,43.2%,Medium,22.6408
10,160,Intersection of Two Linked Lists,47.5%,Easy,0.719382
11,206,Reverse Linked List,68.3%,Easy,0.985706
12,221,Maximal Square,41.3%,Medium,100
13,239,Sliding Window Maximum,45.7%,Hard,3.18775
14,242,Valid Anagram,60.2%,Easy,0.437702
15,259,3Sum Smaller,49.9%,Medium,94.197
16,268,Missing Number,57.6%,Easy,0.606946
17,283,Move Zeroes,59.6%,Easy,0.307862
18,412,Fizz Buzz,65.3%,Easy,1.22255
19,443,String Compression,46.2%,Medium,17.2064
20,844,Backspace String Compare,47.4%,Easy,8.13016
21,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,16.4775
22,1012,Numbers With Repeated Digits,38.4%,Hard,52.557
23,1151,Minimum Swaps to Group All 1's Together,59.0%,Medium,76.3983
24,1355,Activity Participants,74.8%,Medium,47.9441
25,1518,Water Bottles,60.3%,Easy,46.4821
