,#,Title,Acceptance,Difficulty,Frequency
113,344,Reverse String,72.5%,Easy,0.9185
114,345,Reverse Vowels of a String,46.2%,Easy,3.52997
115,347,Top K Frequent Elements,63.7%,Medium,7.07503
116,366,Find Leaves of Binary Tree,75.0%,Medium,6.81253
117,380,Insert Delete GetRandom O(1),50.7%,Medium,1.43459
118,394,Decode String,54.6%,Medium,8.94461
119,399,Evaluate Division,55.9%,Medium,14.7448
120,443,String Compression,46.2%,Medium,16.0537
121,445,Add Two Numbers II,57.7%,Medium,3.22409
122,450,Delete Node in a BST,46.9%,Medium,2.54623
123,465,Optimal Account Balancing,48.6%,Hard,6.8298
124,498,Diagonal Traverse,53.3%,Medium,7.62293
125,516,Longest Palindromic Subsequence,58.0%,Medium,2.45682
126,540,Single Element in a Sorted Array,58.1%,Medium,3.58802
127,545,Boundary of Binary Tree,41.9%,Medium,100
128,547,Number of Provinces,62.2%,Medium,2.47763
129,557,Reverse Words in a String III,75.5%,Easy,3.58602
130,560,Subarray Sum Equals K,43.7%,Medium,2.59591
131,621,Task Scheduler,53.7%,Medium,2.94527
132,632,Smallest Range Covering Elements from K Lists,56.7%,Hard,13.6106
133,642,Design Search Autocomplete System,47.6%,Hard,8.26341
134,655,Print Binary Tree,57.9%,Medium,73.0446
135,658,Find K Closest Elements,43.7%,Medium,2.57733
136,662,Maximum Width of Binary Tree,39.6%,Medium,10.7132
137,665,Non-decreasing Array,21.2%,Medium,34.7102
138,680,Valid Palindrome II,37.9%,Easy,2.20625
139,692,Top K Frequent Words,53.9%,Medium,2.44423
140,694,Number of Distinct Islands,59.0%,Medium,7.66783
141,695,Max Area of Island,68.0%,Medium,4.2251
142,729,My Calendar I,54.7%,Medium,41.0231
143,743,Network Delay Time,47.1%,Medium,2.84881
144,767,Reorganize String,51.2%,Medium,7.09801
145,772,Basic Calculator III,46.2%,Hard,9.45967
146,703,Kth Largest Element in a Stream,52.0%,Easy,8.53743
147,785,Is Graph Bipartite?,49.6%,Medium,25.8416
148,787,Cheapest Flights Within K Stops,36.8%,Medium,2.30258
149,706,Design HashMap,63.8%,Easy,4.55445
150,846,Hand of Straights,55.9%,Medium,89.0923
151,945,Minimum Increment to Make Array Unique,48.0%,Medium,12.5246
152,951,Flip Equivalent Binary Trees,66.4%,Medium,5.05853
153,953,Verifying an Alien Dictionary,52.2%,Easy,3.76918
154,962,Maximum Width Ramp,47.4%,Medium,60.9061
155,968,Binary Tree Cameras,41.2%,Hard,45.8914
156,509,Fibonacci Number,67.8%,Easy,2.08549
157,977,Squares of a Sorted Array,71.5%,Easy,6.44189
158,986,Interval List Intersections,69.7%,Medium,1.92865
159,994,Rotting Oranges,51.1%,Medium,1.22685
160,1004,Max Consecutive Ones III,61.6%,Medium,5.239
161,1027,Longest Arithmetic Subsequence,48.7%,Medium,15.9448
162,1167,Minimum Cost to Connect Sticks,65.9%,Medium,5.09456
163,1188,Design Bounded Blocking Queue,73.2%,Medium,70.2432
164,1146,Snapshot Array,37.1%,Medium,4.1636
165,1143,Longest Common Subsequence,58.8%,Medium,0.547933
166,1382,Balance a Binary Search Tree,78.8%,Medium,3.10886
167,1295,Find Numbers with Even Number of Digits,77.6%,Easy,6.26477
168,1381,Design a Stack With Increment Operation,77.1%,Medium,9.88081
169,1424,Diagonal Traverse II,48.3%,Medium,11.2642
170,1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,45.3%,Medium,33.1449
171,1636,Sort Array by Increasing Frequency,67.9%,Easy,12.1109
172,1665,Minimum Initial Energy to Finish Tasks,55.4%,Hard,65.5746
173,1743,Restore the Array From Adjacent Pairs,66.9%,Medium,12.204
174,1740,Find Distance in a Binary Tree,68.2%,Medium,49.9983
175,1854,Maximum Population Year,57.9%,Easy,12.9662
