,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.0284842
1,17,Letter Combinations of a Phone Number,51.9%,Medium,0.0866019
2,20,Valid Parentheses,40.5%,Easy,0.322986
3,41,First Missing Positive,35.2%,Hard,0.157054
4,49,Group Anagrams,62.3%,Medium,0.179521
5,53,Maximum Subarray,48.9%,Easy,0.0639022
6,56,Merge Intervals,43.2%,Medium,36.619
7,91,Decode Ways,28.9%,Medium,78.1355
8,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.129624
9,146,LRU Cache,38.3%,Medium,0.212323
10,173,Binary Search Tree Iterator,63.3%,Medium,0.484792
11,174,Dungeon Game,35.6%,Hard,0.128531
12,242,Valid Anagram,60.2%,Easy,0.0734983
13,399,Evaluate Division,55.9%,Medium,0.47373
14,423,Reconstruct Original Digits from English,51.5%,Medium,100
15,453,Minimum Moves to Equal Array Elements,52.7%,Medium,4.744
16,480,Sliding Window Median,40.2%,Hard,1.10639
17,560,Subarray Sum Equals K,43.7%,Medium,0.184788
18,696,Count Binary Substrings,62.9%,Easy,58.4835
19,509,Fibonacci Number,67.8%,Easy,7.29913
20,980,Unique Paths III,77.6%,Hard,1.13576
21,1091,Shortest Path in Binary Matrix,41.3%,Medium,0.310541
22,1290,Convert Binary Number in a Linked List to Integer,81.8%,Easy,21.5563
23,1609,Even Odd Tree,52.6%,Medium,5.30297
