,#,Title,Acceptance,Difficulty,Frequency
111,688,Knight Probability in Chessboard,51.1%,Medium,16.0656
112,692,Top K Frequent Words,53.9%,Medium,0.28428
113,720,Longest Word in Dictionary,50.3%,Medium,10.6304
114,724,Find Pivot Index,49.2%,Easy,41.9397
115,740,Delete and Earn,53.7%,Medium,70.1923
116,767,Reorganize String,51.2%,Medium,0.369159
117,704,Binary Search,54.7%,Easy,0.0379909
118,780,Reaching Points,30.8%,Hard,4.50331
119,706,Design HashMap,63.8%,Easy,19.8261
120,829,Consecutive Numbers Sum,40.2%,Hard,30.5177
121,641,Design Circular Deque,56.8%,Medium,3.55263
122,862,Shortest Subarray with Sum at Least K,25.9%,Hard,29.0835
123,863,All Nodes Distance K in Binary Tree,59.8%,Medium,0.235832
124,876,Middle of the Linked List,70.7%,Easy,0.0777978
125,909,Snakes and Ladders,39.6%,Medium,5.67211
126,983,Minimum Cost For Tickets,63.4%,Medium,1.14911
127,1086,High Five,75.9%,Easy,100
128,1041,Robot Bounded In Circle,54.5%,Medium,85.0962
129,1167,Minimum Cost to Connect Sticks,65.9%,Medium,0.592531
130,1049,Last Stone Weight II,49.3%,Medium,1.20178
131,1163,Last Substring in Lexicographical Order,35.9%,Hard,8.54427
132,1051,Height Checker,73.7%,Easy,4.40043
133,1146,Snapshot Array,37.1%,Medium,1.08089
134,1382,Balance a Binary Search Tree,78.8%,Medium,1.42583
135,1186,Maximum Subarray Sum with One Deletion,40.1%,Medium,3.04496
136,1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,5.32322
137,1219,Path with Maximum Gold,66.0%,Medium,1.0978
138,1249,Minimum Remove to Make Valid Parentheses,65.0%,Medium,0.29035
139,1268,Search Suggestions System,65.7%,Medium,0.444175
140,1296,Divide Array in Sets of K Consecutive Numbers,56.0%,Medium,1.91267
141,1306,Jump Game III,61.6%,Medium,0.643737
142,1351,Count Negative Numbers in a Sorted Matrix,75.3%,Easy,0.563964
143,1395,Count Number of Teams,70.8%,Medium,51.6128
144,1823,Find the Winner of the Circular Game,74.2%,Medium,1.53433
145,1836,Remove Duplicates From an Unsorted Linked List,69.4%,Medium,12.6121
